书名	书名（英文）	作者
写作艺术	On Writing: A Memoir of the Craft	Stephen King
情绪智商	Emotional Intelligence: Why It Can Matter More Than IQ	Daniel Goleman
影响力	Influence: The Psychology of Persuasion	Robert Cialdini
长尾理论	The Long Tail: Why the Future of Business is Selling Less of More	Chris Anderson
自控力	The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It	Kelly McGonigal
有意识的思考	The Art of Thinking Clearly	Rolf Dobelli
精力管理	The Power of Full Engagement	Jim Loehr and Tony Schwartz
非暴力沟通	Nonviolent Communication: A Language of Life	Marshall B. Rosenberg
爱的五种语言	The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	Gary Chapman
微表情	Unmasking the Face: A Guide to Recognizing Emotions from Facial Clues	Paul Ekman and Wallace Friesen
沟通的艺术	The Art of Communicating	Thich Nhat Hanh
认知心理学	Cognitive Psychology: In and Out of the Laboratory	Kathleen M. Galotti
乌合之众	The Crowd: A Study of the Popular Mind	Gustave Le Bon
沉思录	Meditations	Marcus Aurelius
个人潜力发掘	The Seven Habits of Highly Effective People: Powerful Lessons in Personal Change	Stephen Covey
生命0	Life 3.0: Being Human in the Age of Artificial Intelligence	Max Tegmark
人性的弱点	How to Win Friends and Influence People	Dale Carnegie
想象力的力量	The Power of Imagination	Nigel Risner
关键决策	Thinking Strategically: The Competitive Edge in Business, Politics and Everyday Life	Avinash K. Dixit and Barry J. Nalebuff
指数思维	The Intelligent Investor: The Definitive Book on Value Investing	Benjamin Graham
时间简史	A Brief History of Time	Stephen Hawking
勇气	Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead	Brené Brown
连锁反应	The Tipping Point: How Little Things Can Make a Big Difference	Malcolm Gladwell
黑天鹅	The Black Swan: The Impact of the Highly Improbable	Nassim Nicholas Taleb
认知心理学和认知神经科学	Cognitive Psychology and Cognitive Neuroscience: Mind, Brain, and Behavior	Edward E. Smith and Stephen M. Kosslyn
高效能人士的七个习惯	The 7 Habits of Highly Effective People Personal Workbook	Stephen Covey
代际才能	Generations: The History of America's Future, 1584 to 2069	William Strauss and Neil Howe
公共心理学	Social Psychology: Goals in Interaction	Douglas T. Kenrick and Steven L. Neuberg
慷慨心理学	The Psychology of Generosity	Lawrence S. Cunningham
沟通的艺术	Crucial Conversations: Tools for Talking When Stakes are High	Kerry Patterson, Joseph Grenny, Ron McMillan, and Al Switzler
意识	Consciousness Explained	Daniel C. Dennett
财富自由之路	The Road to Wealth: A Comprehensive Guide to Your Money	Suze Orman
宽容	The Art of Tolerance: The Golden Rule in World Religions	Robert M. Sellers
行星的孩子	The Indigo Children: The New Kids Have Arrived	Lee Carroll and Jan Tober
时间简史	The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory	Brian Greene
色彩心理学	A Color Guide to the 21st Century	John Covello and Hayden Covello
梦想	The Dream Dictionary: An A to Z Guide to Understanding Your Unconscious Mind	Tony Crisp
周期波动	The Fourth Turning: An American Prophecy	William Strauss and Neil Howe
孪生的灵魂	Soulmates: An Astrological Guide to Finding and Understanding Relationships	Linda George
催眠	Hypnotherapy: A Practical Handbook	Hellmut W. A. Karle and Jennifer H. Boys
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
真实的谎言	The Honest Truth About Dishonesty	丹·阿里
时间简史	A Brief History of Time	史蒂芬·霍金
心流：享受自我流动的心境	Flow: The Psychology of Optimal Experience	米哈里·契克森米哈伊
内向者优势	Quiet: The Power of Introverts in a World That Can't Stop Talking	苏珊·凯恩
习惯的力量	The Power of Habit	查尔斯·杜希格
时间的秩序	The Order of Time	卡洛·罗韦利
哲学家们在谈论什么	What Do Philosophers Talk About?	F.灵德利
新科技的滥用	The Shallows: What the Internet is Doing to Our Brains	尼古拉斯·卡尔
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
暴露	Exposure: From Snapshots to Great Shots	布萊恩·彼得森
自私的基因	The Selfish Gene	理查德·道金斯
思考的艺术	The Art of Thinking Clearly	罗尔夫·多贝利
女性的先天优势	The Female Brain	路易丝·贝格·布赖登
未来简史	Homo Deus: A Brief History of Tomorrow	尤瓦尔·赫拉利
基本方法	Principles: Life and Work	雷·达利欧
强大的思维	The Power of Intentional Thinking: Master Your Mindset, Achieve Your Goals	唐娜·思考
父母丛书：让你的孩子更聪明	The New Science of Children's Minds: What Parents Need to Know	珍妮弗·谢富德
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
脑袋好转，一生受用	Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School	约翰·梅迪纳
社会心理学	Social Psychology	戴维·迈尔斯
改变心理学	Changing Minds: The Art and Science of Changing Our Own and Other People's Minds	大卫·斯特拉瑟纳普
世界无神论之最	The God Delusion	理查德·道金斯
洞见力：与平凡眼界告别，看见更多	Insight: The Power of Self-Awareness in a Self-Deluded World	Tasha Eurich
乌鸦原理	The Crowdfunding Revolution	凯文·霍尔
深度脑思维	Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins	盖瑞·卡斯帕洛夫
科技如何改变人	The Next Decade: Where We've Been . . . and Where We're Going	乔治·弗里德曼
有未来的人	The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth	米歇尔·克鲁斯特
生命史	Life's Greatest Secret: The Race to Crack the Genetic Code	马修·柏林汉
信仰的成因	The God Part of the Brain: A Scientific Interpretation of Human Spirituality and God	马修·阿尔班波
精进：如何成为更好的自己	Mastery: The Keys to Success and Long-Term Fulfillment	乔治·伦纳德
情绪勾结：理解身体、应对挑战，改变你过去，重塑你的未来	The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma	Bessel van der Kolk
笑话的演进：比利时语言、文化与社会	The Evolution of Humor: How Humans Came to Have a Sense of Humor	阿尔贝·達拉
资本家的罪孽	The Capitalist's Dilemma	克雷顿·克里斯蒂安森
戈登·拉姆齐的理财课	The Total Money Makeover	戈登•拉姆齐
滞涨时期	The Stagnation of Society	康拉德·博克
人性的弱点	How to Win Friends and Influence People	戴尔·卡内基
自控力	The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It	凯利·麦格尼格尔
整洁的力量	The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing	玛丽·庞德
书呆子的复仇	Revenge of the Introverts: Thriving in an Extroverted World	苏珊·凯恩
魅力心理学	The Art of Charm: A Life-Changing Guide for Finding Success and Happiness	约翰尼·杰维尔和AJ Har丰臣。
未来50年：科技、战争与全球重新洗牌	The Next 50 Years: Science, Warfare, and Global Change	乔治·弗里德曼
人性的弱点	How to Win Friends and Influence People	戴尔·卡内基
生命是什么	What Is Life?: With Mind and Matter and Autobiographical Sketches	艾尔温·舒耐德寇丝塔
智能时代	The Age of Intelligent Machines	雷·库兹韦尔
判断的艺术	The Art of Judgment: A Study of Policy Making	加德纳·墨菲
静心的力量	The Power of Stillness: Mindful Living for Busy People	詹姆斯・马特
理性（与群众同行）	Irrationality: The Enemy Within	斯图尔特·萨瑟兰
发现内在自我：在你的心灵深处寻找自我	Finding Inner Self: Exploring the Deep Inner Self in Your Mind	卢克·穆里克
科技愈发强大	，《科技变革（第二版）	，《后真相时代：纪实、谎言、政治力量和AI的崛起
穆斯林的葬礼	The Muslim Burial Guide	阿卜杜拉·哈姆扎
人类的本质	The Human Nature	E.O.威尔逊
思维之巅	Thinking, Fast and Slow	丹尼尔·卡尼曼
心理学与生活	Psychology and Life	理查德·格里格斯
孩子，批判性思维和信仰	Child, Critical Thinking, and Faith	Penney Clark、Ken Badley、Barb DeRoche、Fraser McLeod
能力掌控	Mastery	乔治·伦纳德
是否有公正之道	Is There a Right Way to Be Fair?	亚当·柯兹
头脑决策	The Mind Club	丹尼尔·赫姆斯
对理解科学的贡献	The Contribution of Understanding Science	奥托·戈特利布
营销心理学	Marketing Psychology	赵元
选和缺失	The Paradox of Choice	巴里·舒瓦茨
个性心理学	Personality Psychology	陶皓
人格与情绪	Personality and Emotion	林志彬
成长心理学	Developmental Psychology	余哲珍、张丽娜
人类行为	Human Behavior	于学忠
社会心理学	Social Psychology	李忠文、陈良恒
正义感	Sense of Justice	劳伦斯·凯恩斯
行动与判断	Action and Judgment	艾伯特·尚普斯
如何活得更好	How to Live Better	爱丽丝·亚当斯
从脑科学到人类生活	From Neuroscience to Human Life	葛怡生
思维与刻板印象	Thinking and Stereotyping	韦良
爱情与人格	Love and Personality	张玉芳、王曼君
人的智慧	The Wisdom of Human	林宛瑜、黄春汶
人际关系心理学	Interpersonal Psychology	蔡承裕
动机与行为	Motivation and Behavior	陈音
认知心理学	Cognitive Psychology	阮源
群体心理学	Group Psychology	李恕然
性别学与社会心理学	Gender Studies and Social Psychology	严宏志
社会心理学之路	Into the Road of Social Psychology	纪玲
教育心理学	Educational Psychology	朱可可
心理学导论	Introduction to Psychology	吴伟建、黄郁平
心理学基础	Psychological Foundation	林千菁
心理学史话	History of Psychology	赵岳涵
情绪心理学	Emotional Psychology	胡旭
健康心理学	Health Psychology	张欣、陆伟籽
幸福心理学	Positive Psychology	尚玉琨
心理咨询学	Counseling Psychology	刘兆阳
跨文化心理学	Cross-Cultural Psychology	蔡雯
文化心理学	Cultural Psychology	徐倩怡
治愈系心理学	Healing Psychology	胡松善
社交心理学	Social Psychology	李玮
心灵文化	Soul Culture	吴珊
生命心理学	Life Psychology	韩宁
生命认识觉悟	Life Perception and Consciousness	李寿胜
生活中的心理学	Psychology in Life	林嘉荣
如何理解人性	How to Understand Human Nature	徐红梅
理性情感与人格	Rational Emotion and Personality	何裕林
性格的识别与分析	Identification and Analysis of Personality	李宁
行为与认知	Action and Cognition	顾忠梁
认知行为疗法	Cognitive Behavioral Therapy	刘东林
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
奋斗的人生最美丽	Grit: The Power of Passion and Perseverance	安吉拉·李 (Angela Duckworth)
非暴力沟通	Nonviolent Communication: A Language of Life	马歇尔·罗森伯格 (Marshall B. Rosenberg)
活在当下	The Power of Now: A Guide to Spiritual Enlightenment	埃克哈特·托利 (Eckhart Tolle)
失控	Out of Control: The New Biology of Machines, Social Systems, and the Economic World	凯文·凯利 (Kevin Kelly)
心流：认知心理学研究的新视角	Flow: The Psychology of Optimal Experience	Mihály Csíkszentmihályi (米哈里·奇克森特米哈伊)
如何阅读一本书	How to Read a Book	Mortimer J. Adler (莫蒂默·J·阿德勒)，查尔斯·范多伦 (Charles Van Doren)
精益思想	Lean Thinking: Banish Waste and Create Wealth in Your Corporation	James P. Womack (詹姆斯·P·沃马克) ，Daniel T. Jones (丹尼尔·T·琼斯)
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞 (Gustave Le Bon)
行为心理学	Behavioral Economics: The Basics	Michele Belot(米歇尔·贝洛特) ，Jeroen Nieboer(杰罗恩·尼博尔)
与时间做朋友	"Making Time: Lillian Moller Gilbreth -- A Life Beyond ""Cheaper by the Dozen"""	Jane Lancaster (赵素珍)
傲慢与偏见	Pride and Prejudice	简·奥斯汀 (Jane Austen)
断舍离	Goodbye, Things: On Minimalist Living	后藤健二 (Fumio Sasaki)
带着问题学习	Learning with Questions	戚度凯，胡巍
青年修炼手册	Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers	蒂莫西·费里斯 (Timothy Ferriss)
创新者的窘境	The Innovator’s Dilemma: When New Technologies Cause Great Firms to Fail	克莱顿·克里斯坦森 (Clayton M. Christensen)
奇点临近	The Singularity Is Near: When Humans Transcend Biology	雷·库兹韦尔 (Ray Kurzweil)
心理学与生活	Psychology and Life	理查德·格里格斯 (Richard J. Gerrig)，菲利普·洛拜德 (Philip G. Zimbardo)
十亿消费者	One Billion Customers: Lessons from the Front Lines of Doing Business in China	詹姆斯·麦格雷戈 (James McGregor)
重新定义公司：时代商业新规则	Reinventing Organizations: An Illustrated Invitation to Join the Conversation on Next-Stage Organizations	弗雷德·拉里贝尔 (Frederic Laloux)
英语流利说	Fluent in 3 Months: How Anyone Can Learn to Speak Any Language Fast and Fluetntly	本杰明·卡德爵士 (Bennett B. Klein)
资本论	Das Kapital	卡尔·马克思 (Karl Marx)
领袖的自我修养	The Leader's Self-Understanding: An Analysis Based on the Teachings of Confucius and Mencius	张锦涛
制造业精益管理	The Machine that Changed the World: The Story of Lean Production	詹姆斯·沃马克 (James P. Womack)，丹尼尔·琼斯 (Daniel T. Jones)，丹尼尔·罗斯 (Daniel Roos)
已知：决策中的谬误与稀有性	Known Unknowns: Unconventional Strategies to Master the Art of Decision Making	威廉·波兰 (William Poundstone)
永恒的梦	The Dream of Eternal Life: Biomedicine, Aging, and Immortality	Michel Goedert，Francis Crick，Stephen Hawking
如何系统性思维	Thinking in Systems: A Primer	唐娜·梅多斯 (Donella H. Meadows)
领导力	Leadership	詹姆斯·麦格雷戈 (James McGregor)
主人翁经济学	The Ownership Economy: Toward a New Economics of Property and Knowledge	Frederick S. Lane
解忧杂货店	The Convenience Store	东野圭吾 (Keigo Higashino)
MBA必修课	MBA Fundamentals: Statistics	Paul Newbold，William Carlson, Betty Thorne
稀缺	Scarcity: Why Having Too Little Means So Much	克里斯汀娜·沃尔芬 (Sendhil Mullainathan)，艾琳娜·阿尔文 (Eldar Shafir)
批判的思维	Critical Thinking: An Introduction	艾丽森·婭科玛 (Alec Fisher)
Lean in	Lean In: Women, Work, and the Will to Lead	谢丽尔·桑德伯格 (Sheryl Sandberg)
认知心理学	Cognitive Psychology: Connecting Mind, Research and Everyday Experience	E. Bruce Goldstein
卫报	Guardian: 150 Years of Inspiring Journalism	The Guardian
文化的世界地图	Cultural Atlas of the World	George Peter Murdock
富爸爸穷爸爸	Rich Dad, Poor Dad	罗伯特·基奇诺 (Robert T. Kiyosaki)
原则	Principles: Life and Work	雷·达利奥 (Ray Dalio)
贫穷的本质	The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It	保罗·科利尔 (Paul Collier)
荒野之魂	Into the Wild	乔恩·克拉西 (Jon Krakauer)
房价为什么这么高	Why Your World Is About to Get a Whole Lot Smaller: Oil and the End of Globalization	杰夫·鲍尔森 (Jeff Rubin)
乌克兰的降临	The Ukraine Crisis, What It Means for Canada: Understanding and Enduring the Russia-Ukraine Conflict Today	David Carment, Yiagadeesen Samy
中国经济的转型	The Great China Boom: Why China Will Not Rule the World	Ho-fung Hung
性别差异的起源	The Origin of Gender Differences	Leonard Sax
计算机操作系统	Operating System Concepts	Silberschatz Galvin Gagne
数据挖掘导论	Introduction to Data Mining	Pang-Ning Tan
走出幸福的迷宫	The Art of Happiness: A Handbook for Living	达赖喇嘛 (Dalai Lama XIV)
失控手记	The Uninhabitable Earth: Life After Warming	大卫·华莱士-威洛特 (David Wallace-Wells)
北斗七星导航程序	The C++ Programming Language	比雅尼·斯特劳斯特鲁普 (Bjarne Stroustrup)
人类群星闪耀时	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
自控力	The Power of Habit: Why We Do What We Do in Life and Business	查尔斯·杜希格
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
小决定，大飞跃	Nudge: Improving Decisions About Health, Wealth, and Happiness	理查德·塞勒，卡西·孔曼
搜神记	The Man Who Mistook His Wife for a Hat: and Other Clinical Tales	奥利弗·萨克斯
解忧杂货店	The Convenience Store	东野圭吾
消失的巨人	The Memory Keeper's Daughter	金·爱德华兹
深度睡眠的艺术	Why We Sleep: The New Science of Sleep and Dreams	马修·沃克
把时间当作朋友	The Time Paradox: Using the New Psychology of Time to Your Advantage	菲利普·洞戈
改变自己	Change Yourself	陶杰
反脆弱	Antifragile: Things That Gain from Disorder	纳西姆·尼古拉斯·塔勒布
幸福垃圾场	Happiness for Sale: The Strange World of Quanitified Self	威廉·戈德曼
意志力：成就财富与自我亲和力的远航	Willpower: Rediscovering the Greatest Human Strength	罗伊·巴恩斯
非暴力沟通	Nonviolent Communication: A Language of Life	马绍尔·卢森伯格
构建你的个人品牌	Building Your Personal Brand for Career Success	凯文·凯曼
情绪的语言	Emotional Intelligence: Why It Can Matter More Than IQ	丹尼尔·戈尔曼
情商课	The Emotional Intelligence Quick Book	特拉维斯·布拉德贝里，简·格雷菲斯
沟通的艺术	The Art of Communicating	廖雪峰
寡头是如何思考的	The 48 Laws of Power	罗伯特·格林
具有高度意义的人生	The Highly Meaningful Life	J.E.霍伊斯特拉
沉思录	Meditations	马其顿皇帝马可·奥芮里乌斯
快乐不用靠人任何人	The Tao of Happiness: Stories from Chuang Tzu for Your Spiritual Journey	徐哲安
知识分子的哀悼	The Intellectuals and the Masses: Pride and Prejudice Among the Literary Intelligentsia, 1880-1939	理查德·吉特林
太空漫步时间	The Overview Effect: Space Exploration and Human Evolution	弗兰克·怀特
致命的自负	The Fatal Conceit: The Errors of Socialism	弗里德里希·哈耶克
影响力	Influence: The Psychology of Persuasion	罗伯特·西奥迪尼
汉字的故事	The Chinese Characters: The Story of a Language	魏明达
金字塔原理：思考、表达和解决问题的逻辑	The Pyramid Principle: Logic in Writing and Thinking	巴巴拉·明托
优秀的细节：如何工作与生活得更有品质	The Power of Less: The Fine Art of Limiting Yourself to the Essential...in Business and in Life	艾克斯·德哥马斯
罗马的沦陷	The Fall of the Roman Republic	波利·斯卡罗拉
玩转金融科技	Fintech: The Beginner's Guide to Financial Technology	唐大伟
美颜的陷阱	Perfect Me: Beauty as an Ethical Ideal	海伦·莱瑟·布鲁克斯
剑桥明信片	Non-Breaking Spaces in HTML	吴伟志
阿贝算·鸟栖算	Jinkou-bato: Kouhonen no Kiben ni yoru Kenkyu to Ouyou	山崎朝雄
脑贝尔定理	Neuromancer	威廉·吉布森
草祭物语	Yoake Mae!	林悦子
白夜行	White Night	
没有神的旅行	Going Postal	特里·普拉切特
触须短的章鱼异闻	The Octopus with Short Tendrils	桥度味
挚爱官场	To Be a Good Secretary	周德琼
三体	The Three-Body Problem	刘慈欣
幻夜	The Dark Tower	
程序员修炼之道	The Pragmatic Programmer	大卫·托马斯
把时间当做朋友	The Power of Now	艾克哈特·托勒
赛博朋克	Cyberpunk: Outlaws and Hackers on the Computer Frontier	凯西·埃里奇
战争与和平	War and Peace	列夫·托尔斯泰
我们的思想如何改变心情	Feeling Good: The New Mood Therapy	大卫·D.伯恩斯
新学习心理学	New Psychology of Learning: A Mindset for Success	马丁·鲁瑟福德
尼采语录	Thus Spoke Zarathustra	弗里德里希·尼采
时空简史	A Brief History of Time	斯蒂芬·霍金
时间简史	A Brief History of Time	史蒂芬·霍金
极简宇宙史	Astrophysics for People in a Hurry	尼尔·德格拉斯·泰森
认知心理学	Cognitive Psychology: Connecting Mind, Research, and Everyday Experience	E.布鲁斯·戴维
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
刻意练习	Peak: Secrets from the New Science of Expertise	安德斯·艾里克森
深度思维	Deep Work: Rules for Focused Success in a Distracted World	卡尔·纽波特
社会心理学	Social Psychology	艾利特·阿隆森、艾伯特·巴德、威廉·科尼夫
漫步人类思维	The Art of Thinking Clearly	罗尔夫·多贝利
时间的秩序	The Order of Time	卡洛·罗韦利
上帝掷骰子吗？量子物理史话	The God Particle: If the Universe Is the Answer, What Is the Question?	莱昂·莱德曼
谁的自由？	Who Owns the Future?	贾伯斯·兰迪尔
世界是平的	The World Is Flat: A Brief History of the Twenty-first Century	托马斯·弗里德曼
荒野之美	Into the Wild	琼·克拉克
魔鬼经济学	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	斯蒂芬·杜伯纳
荒岛余生	Robinson Crusoe	丹尼尔·笛福
笑面人	The Joker	阿兰·摩尔
肉身阅读	The Body	Bill Bryson
不可思议的残缺	The Unthinkable: Who Survives When Disaster Strikes - and Why	阿曼达·里普利
波士顿派的智慧	The Boston Girl	Anita Diamant
精益创业	The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses	埃里克·里斯
性格心理学	Personality Psychology	兰斯·缪恩、杰夫·雷斯勒
沟通的艺术	The Art of Communicating	蒂奇·纳特·哈恩
争吵的艺术	The Art of Argument: An Introduction to the Informal Fallacies	艾勒里·艾恩斯、凯文·韦尔彻
独裁者手册	The Dictator's Handbook: Why Bad Behavior Is Almost Always Good Politics	布鲁斯·布恩斯、乔恩·穆尼斯
清醒的独裁者	The Benevolent Dictator: Empower Your Employees, Build Your Business, and Outwit the Competition	迈克尔·费尔曼、丹尼尔·拉珀特
绝对值	Absolute Value: What Really Influences Customers in the Age of (Nearly) Perfect Information	伊塔马尔·西蒙 & 基恩·霍夫曼
灵魂的领导力	Soulful Leadership: Becoming the Leader That People Want to Follow	加里小田切尔
数学之美	The Beauty of Numbers	贾斯汀·斯塔比
萨伦定理	The Pythagorean Theorem: A 4,000-Year History	艾伯特·弗拉明戈
全球文明？	Beyond Globalization: Making New Worlds in Media, Art, and Social Practices	阿美娜·雅斯明
世界队长谈重要关系	The Quotable Captain Jack Harkness: The Wit and Wisdom of Torchwood's Sassy American Export	John Barrowman
高明的简单	Simple Rules: How to Thrive in a Complex World	唐纳德·萨布拉米尼
反脆弱	Antifragile: Things That Gain from Disorder	纳西姆·尼古拉斯·塔勒布
创造力之光	The Light of Creativity	杰弗里·怀特
爆裂：思维力的惊天爆炸	The Spark: A Mother's Story of Nurturing Genius	克里斯汀娜·赫恩
货币战争	Currency Wars	詹姆斯·里克茨
时间的秘密	The Secret Power of Time: How Time Shapes Our Lives	麦克·马萨斯
魅力的生命力	The Vitality Imperative: How Connected Leaders and Their Teams Achieve More with Less Time, Money, and Stress	佩吉·诺勒特
世界的面纱	The Veil of the World	特德·海格
幸福的起点：追索幸福的科学	The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom	乔纳森·海德特
财富的起源	The Origin of Wealth: Evolution, Complexity, and the Radical Remaking of Economics	埃里克·费尔南德斯
团队之美	The Art of Teaming: How to Make Teams Work	艾米·埃德蒙森
复杂的兴趣	The Book of Life	约翰·鲍尔斯
会议之美	Death by Meeting: A Leadership Fable...About Solving the Most Painful Problem in Business	帕特里克·莱尼奇
奇闻异事	Ripley's Believe It or Not! Strange Stories	Ripley's Believe It or Not!
创造团队的创造力	Innovation and Entrepreneurship: Practice and Principles	彼得·德鲁克
设计的力量	The Power of Design: A Force for Transforming Everything	拉尔夫·加帝斯
设计的意义	The Meaning of Design	罗萨·梅诺兹
化繁为简	Simplify Your Life: 100 Ways to Slow Down and Enjoy the Things That Really Matter	伊利克·麦克费尔森、迈克尔·安德莱森
阿米特·史黛特	Thinking Like a Brand: Marketers from Pepsi, Starbucks, and Apple Teach Us How to Think Differently About Our Brands	阿米特·史黛特
思考，快与慢	Thinking, Fast and Slow	丹尼尔•卡尼曼
基本形式的陷阱	The Trap of Basics Patterns	冯仑
内向的优势	Quiet: The Power of Introverts in a World That Can't Stop Talking	苏珊•凯恩
时间简史	A Brief History of Time	史蒂芬•霍金
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫•勒庞
存在主义心理治疗	Existential Psychotherapy	赖昀泽
这就是二十世纪	Modern Times: A History of the World from the 1920s to the 1980s	保罗•约翰逊
全球性思维：跨文化合作与全球竞争时代	Global Mindset: Collaborate Across Borders and Succeed in a Globalized World	普伦提斯•哈尔达茨
演化的威胁	The Selfish Gene	理查德•道金斯
情景变量口袋书	Situationism 常好	方可成、吕永文
沉默的大多数	The Silent Majority: Suburban Politics in the Sunbelt South	阿尔文•G•格林伍德
无声的爆炸	The Quiet Explosion: The Communication Challenge of Corporate America	米尔顿•H•K•福格尔曼
拆掉思维里的墙	Out of Our Minds: Learning to be Creative	肯•罗宾逊
智者千虑必有一失理论	The Wisdom of Crowds	詹姆斯•苏里基
神经科学和修行的对话	The Neuroscience of Mindfulness Meditation: How the Body and Mind Work Together to Change Our Behavior	赵庆祥
圣经中的历史	The Bible: A History	约翰•巴顿
爱的艺术	The Art of Loving	基兰•弗罗姆
领导之力	The Power of Leadership	彼得•舒尔茨
理性的乐趣	The Pleasure of Finding Things Out	理查德•费曼
创造力课	Creative Confidence: Unleashing the Creative Potential Within Us All	大卫•凯利、汤姆•凯利
掉进兔子洞的经济学人	The Undercover Economist	蒂莫西•哈雷
黑客与画家	Hackers & Painters: Big Ideas from the Computer Age	保罗•格雷厄姆
平衡的心理学	Positive Psychology: The Science of Happiness and Flourishing	莫蒂默•辛格
只要学会一种：人性的起源	Sapiens: A Brief History of Humankind	尤瓦尔•赫拉利
领导力的一百个经典	The 100 Greatest Leadership Principles of All Time	Leslie Pocks
优势	StrengthsFinder 2.0	汤姆•拉特恩
禅与摩托车维修艺术	Zen and the Art of Motorcycle Maintenance: An Inquiry into Values	罗伯特•M•皮尔西格
人生的智慧	The Wisdom of Life	亚瑟•叔本华
乌合之众：大众心理研究	The Crowd: A Study of the Popular Mind	古斯塔夫•勒庞
给生命树浇水	The Garden of Life: An Introduction to the Healing Plants of India	大卫•弗德曼
红树林	Mangroves and Salt Marshes	海伦•T•英格玛恩
谁把我们的橡树砍了？	Who Killed Our Son-Ra Treaty?: The Story Of A Perfect Political Crime	莫里斯•拉堪
窥见未来：技术变革如何改变我们的生活	The Future of Technology: How to Predict and Shape the Next 50 Years	IFTF
数字营销之光	Digital Marketing: Strategies for Online Success	尼克·斯洛特
如何高效学习	Make It Stick: The Science of Successful Learning	彼得•布朗
还未完成的奇迹	The Miracle Club: How Thoughts Become Reality	米切尔•加希
社会：不平等的根源和演进	Society: The Roots and Evolution of Inequality	章开沅
有知识的未来	The Learning Revolution	格登•詹姆斯
快乐学习	The Happy Student: 5 Steps to Academic Fulfillment and Success	丹尼尔•格林伯格
改变大脑，改变人生	The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science	迈克尔•梅泰斯
大学和伟大的社会	The University and the Great Society: An Interdisciplinary Approach to Social Welfare	J•E•S•达克沃思
黑客：未来密码	The Next Big Thing: The Future of Passwords and Identity	马特•怀特
成为自主，不自闭	Becoming Self-Directed: Creating Learning Experiences for Success in Life	程建雄
社会心理学	Social Psychology	大卫•迈尔斯
巨婴国：让孩子健康成长，让生命更加美好	The Precious Child: How to Build the Foundation for a Happier Life	雷恩•费雷斯特恩
刻意练习：达到能力极限的秘密	Peak: Secrets from the New Science of Expertise	安德斯•艾力克森
企业文化的艺术	The Art of Corporate Culture: How to Build a Culture That Sustains and Drives Results	罗迪•坎德斯
自由：另一种思维方式	Free: Another Way of Thinking	Sheldon Robins
演说的艺术	The Art of Public Speaking	史蒂芬•卢卡斯
向日葵	The Sunflower: On the Possibilities and Limits of Forgiveness	Simon Wiesenthal
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
白夜行	白夜行	东野圭吾
黑天鹅：如何应对不可预知的未来	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
关键对话	Crucial Conversations: Tools for Talking When Stakes are High	肯·布莱特、约瑟夫·格林亚、罗纳德·麦克米伦
异类：不一样的成功启示录	Outliers: The Story of Success	马尔科姆·格拉德威尔
围城	围城	钱钟书
原则	Principles: Life and Work	雷·达利欧
如何阅读一本书	How to Read a Book	莫提默·J. 艾德勒、查尔斯·范多伦
原生家庭	永恒的边缘	巴黎·托马斯
复活	复活	列夫·托尔斯泰
自干五十年	自干五十年	叶永烈
长夜难明	长夜难明	莉林
常识的力量	The Power of Common Sense: Why You Should Make Better Decisions	贝克曼
幸福的方法	Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment	塔利·本-沙哈尔
痛苦的告别	当呼吸化为空气时	保罗·卡利尼什
小王子	The Little Prince	安托万·德·圣-埃克苏佩里
主宰时间的方法	The Time Paradox: The New Psychology of Time That Will Change Your Life	菲利普·佛瑞
